Date,SPY Close,Daily Returns,Cumulative Returns,VIX Close,SPX 1M 25DP Vol BVOL INDEX,SPX 1M 25DC Vol BVOL INDEX,SPX 1M 100 Vol BVOL INDEX,P/C Ratio,P/C Spread,P/ATM Ratio,P/ATM Spread,ATM/C Ratio,ATM/C Spread,FICC_Spread,TEDSPREAD,Gold_Close,Delta_10Y2Y,10Y_Yield,Delta_10Y3M
2014-01-03,161.60704040527344,-0.00016416783522577028,-0.00016416783522577028,13.760000228881836,11.9795,8.9814,10.1398,1.33,3.0,1.18,1.84,1.13,1.16,3.98,17.3937,1232.25,2.6,3.01,2.94
2014-01-06,161.13870239257812,-0.002898005009687843,-0.0030616970857046955,13.550000190734863,13.9644,10.3354,11.6945,1.35,3.63,1.19,2.27,1.13,1.36,3.96,19.372,1238.0,2.58,2.98,2.93
2014-01-07,162.12838745117188,0.00614182095237803,0.003061319471362456,12.920000076293945,12.7524,9.3597,10.6061,1.36,3.39,1.2,2.15,1.13,1.25,3.92,20.6611,1237.5,2.56,2.96,2.92
2014-01-08,162.16378784179688,0.00021834788578067865,0.0032803357897774887,12.869999885559082,12.5946,9.16,10.4178,1.37,3.43,1.21,2.18,1.14,1.26,3.87,20.9981,1226.5,2.58,3.01,2.96
2014-01-09,162.269775390625,0.0006535833322511841,0.003936063094825082,12.890000343322754,12.5365,9.0315,10.2926,1.39,3.51,1.22,2.24,1.14,1.26,3.88,20.6161,1226.0,2.53,2.97,2.93
2014-01-10,162.71157836914062,0.0027226449130905994,0.006669424510078459,12.140000343322754,12.6749,8.8244,10.1815,1.44,3.85,1.24,2.49,1.15,1.36,3.95,20.6161,1232.25,2.49,2.88,2.83
2014-01-13,160.54669189453125,-0.013305054848020359,-0.006724367396853226,13.279999732971191,12.5694,8.8717,10.1482,1.42,3.7,1.24,2.42,1.14,1.28,3.97,21.3551,1246.0,2.45,2.84,2.81
2014-01-14,162.29629516601562,0.010897784630989227,0.004100136526465459,12.279999732971191,12.545,8.9831,10.1748,1.4,3.56,1.23,2.37,1.13,1.19,3.92,20.6331,1248.75,2.49,2.88,2.84
2014-01-15,163.1710662841797,0.005389963567986822,0.009512199680953737,12.279999732971191,13.6496,9.613999999999999,11.1179,1.42,4.04,1.23,2.53,1.16,1.5,3.87,20.2361,1238.0,2.49,2.9,2.86
2014-01-16,162.958984375,-0.0012997519352501152,0.008200084245759909,12.529999732971191,17.8629,12.0033,14.3459,1.49,5.86,1.25,3.52,1.2,2.34,3.88,20.5931,1237.25,2.45,2.86,2.82
2014-01-17,162.269775390625,-0.004229340204949916,0.003936063094825526,12.4399995803833,17.5834,12.423,14.4005,1.42,5.16,1.22,3.18,1.16,1.98,3.88,20.6181,1241.0,2.44,2.84,2.79
2014-01-21,162.7469482421875,0.0029406144823571623,0.006888252021322705,12.869999885559082,16.2053,11.7952,13.4066,1.37,4.41,1.21,2.8,1.14,1.61,3.86,20.1111,1247.75,2.45,2.85,2.81
2014-01-22,162.8529815673828,0.0006515226635004367,0.007544262537126922,12.84000015258789,18.0486,12.9829,14.8997,1.39,5.07,1.21,3.15,1.15,1.92,3.82,20.6681,1239.5,2.43,2.87,2.83
2014-01-23,161.5187225341797,-0.008193027971373446,-0.0007105757882366337,13.770000457763672,17.2273,11.9675,13.8306,1.44,5.26,1.25,3.4,1.16,1.86,3.92,20.3111,1244.25,2.4,2.79,2.75
2014-01-24,158.07257080078125,-0.02133592737318224,-0.022031342368007967,18.139999389648438,18.9978,13.3188,15.4556,1.43,5.68,1.23,3.54,1.16,2.14,4.08,18.972,1259.25,2.38,2.75,2.71
2014-01-27,157.294921875,-0.004919569042508454,-0.026842526700637914,17.420000076293945,22.0993,15.4544,18.1189,1.43,6.64,1.22,3.98,1.17,2.66,4.09,18.5399,1270.0,2.41,2.78,2.73
2014-01-28,158.23158264160156,0.005954806140187507,-0.021047562603265457,15.800000190734863,19.2269,13.6536,15.8068,1.41,5.57,1.22,3.42,1.16,2.15,4.08,19.047,1253.5,2.39,2.77,2.72
2014-01-29,156.7117462158203,-0.009605139507602112,-0.03045053733576819,17.350000381469727,20.1824,14.3544,16.6223,1.41,5.83,1.21,3.56,1.16,2.27,4.15,19.504,1254.75,2.33,2.69,2.65
2014-01-30,158.3730010986328,0.010600704305372632,-0.02017263017263171,17.290000915527344,17.6639,12.9134,14.7655,1.37,4.75,1.2,2.9,1.14,1.85,4.12,22.2391,1254.0,2.36,2.72,2.7
2014-01-31,157.44512939453125,-0.0058587745238450895,-0.025913217804742428,18.40999984741211,15.1407,11.2315,12.6533,1.35,3.91,1.2,2.49,1.13,1.42,4.21,21.6321,1246.5,2.33,2.67,2.65
2014-02-03,153.9018096923828,-0.022505108387757544,-0.047835146417128716,21.440000534057617,15.293,11.2941,12.7257,1.35,4.0,1.2,2.57,1.13,1.43,4.28,21.0251,1246.5,2.31,2.61,2.56
2014-02-04,154.9797821044922,0.007004286786906677,-0.041165910714221265,19.110000610351562,14.0753,10.5157,11.7056,1.34,3.56,1.2,2.37,1.11,1.19,4.31,18.5749,1253.0,2.33,2.64,2.58
2014-02-05,154.78543090820312,-0.0012540422605448187,-0.04236832918303668,19.950000762939453,13.9959,10.5412,11.7576,1.33,3.45,1.19,2.24,1.12,1.22,4.28,18.0578,1257.0,2.38,2.7,2.63
2014-02-06,156.82659912109375,0.013187082278442341,-0.029739961547531224,17.229999542236328,13.6643,10.2047,11.3821,1.34,3.46,1.2,2.28,1.12,1.18,4.21,17.0937,1258.5,2.4,2.73,2.66
2014-02-07,158.77061462402344,0.012395955238617473,-0.017712661541055108,15.289999961853027,12.8678,9.7476,10.8082,1.32,3.12,1.19,2.06,1.11,1.06,4.2,15.2723,1260.0,2.41,2.71,2.63
2014-02-10,159.0621795654297,0.0018363910859493515,-0.015908797828868226,15.260000228881836,13.579,10.2054,11.3068,1.33,3.37,1.2,2.27,1.11,1.1,4.16,17.8079,1273.5,2.38,2.7,2.63
2014-02-11,160.80296325683594,0.010944045254265955,-0.005138859177982402,14.510000228881836,15.3844,11.0059,12.5115,1.4,4.38,1.23,2.87,1.14,1.51,4.08,19.097,1282.75,2.4,2.75,2.7
